text,Polarity,Subjectivity,Sentiment
@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[,-0.3499999999999999,0.5833333333333333,Negative
Layin n bed with a headache  ughhhh...waitin on your call...,0.0,0.0,Neutral
Funeral ceremony...gloomy friday...,0.0,0.0,Neutral
wants to hang out with friends SOON!,0.25,0.1,Positive
"@dannycastillo We want to trade with someone who has Houston tickets, but no one will.",0.0,0.0,Neutral
Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends,0.0,0.0,Neutral
"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!",0.22083333333333333,0.18333333333333335,Positive
Hmmm. http://www.djhero.com/ is down,-0.15555555555555559,0.2888888888888889,Negative
@charviray Charlene my love. I miss you,0.5,0.6,Positive
@kelcouch I'm sorry  at least it's Friday?,-0.4,0.7,Negative
cant fall asleep,0.0,0.0,Neutral
Choked on her retainers,0.0,0.0,Neutral
Ugh! I have to beat this stupid song to get to the next  rude!,-0.3916666666666666,0.5333333333333333,Negative
@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol,-0.3,0.6,Negative
Got the news,0.0,0.0,Neutral
The storm is here and the electricity is gone,0.0,0.0,Neutral
@annarosekerr agreed,0.0,0.0,Neutral
So sleepy again and it's not even that late. I fail once again.,-0.4,0.44999999999999996,Negative
@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know,1.0,1.0,Very Positive
How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend,0.0,0.0,Neutral
@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too,-0.22499999999999995,0.5888888888888889,Negative
"Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore",-0.4159090909090909,0.7136363636363636,Negative
No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps,0.0,0.0,Neutral
I ate Something I don't know what it is... Why do I keep Telling things about food,0.0,0.0,Neutral
so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.,-0.2,0.6,Negative
On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old,0.1,0.2,Positive
"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!",-0.05833333333333335,0.7000000000000001,Negative
Damm servers still down  i need to hit 80 before all the koxpers pass me,-0.15555555555555559,0.2888888888888889,Negative
Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!,-0.39999999999999997,0.6666666666666666,Negative
I HATE CANCER. I HATE IT I HATE IT I HATE IT.,-0.8,0.9,Very Negative
